model,tts_backend,word_count_low,word_count_high,row_count,conversion_time_s_mean,conversion_time_s_var,conversion_time_s_std,conversion_time_s_min,conversion_time_s_max,audio_duration_s_mean,audio_duration_s_var,audio_duration_s_std,audio_duration_s_min,audio_duration_s_max,real_time_factor_mean,real_time_factor_var,real_time_factor_std,real_time_factor_min,real_time_factor_max
Supertone/supertonic-3,supertonic,1,1,2626,0.4082655829161582,0.00037186370084916294,0.019283767807385645,0.3686421671882272,0.4510471411049366,1.2878319685128337,0.00039696415772366505,0.01992395938872756,1.2787495851516724,1.3919459581375122,3.180905999235021,0.027362273818526062,0.16541545822118942,2.8760616416207667,3.600448540576676
Supertone/supertonic-3,supertonic,2,2,643,0.41602170185084636,0.0005237719945958848,0.022886065511482853,0.36828667763620615,0.4673966281116009,1.4867382508691316,0.03827943375028618,0.19565130653866378,1.300473690032959,2.2305667400360107,3.58050332428332,0.20357871907139927,0.45119698477649345,3.0394618090969585,5.2654645626709655
Supertone/supertonic-3,supertonic,3,3,624,0.46267941708136284,0.011926089986664612,0.10920663893126925,0.35373046435415745,0.8206311482936144,2.193783920218512,1.114995135991771,1.0559333009199827,1.3585476875305176,6.56526517868042,4.65484319495575,1.4583613761215823,1.2076263396107185,3.2796797677975533,8.237252028642937
Supertone/supertonic-3,supertonic,4,4,709,0.43117966299005006,0.002326152596304005,0.04823020419098394,0.3510159384459257,0.5908387303352356,2.0417380071768365,0.2733937096121699,0.5228706432877733,1.3835079669952393,3.6170454025268555,4.742251341039574,0.8977815569524742,0.9475133544982225,3.2719279306738303,6.617156832962911
Supertone/supertonic-3,supertonic,5,5,637,0.4723456378857139,0.006007982718102994,0.0775111780203539,0.34954765997827053,0.7611478278413415,2.638560477351643,0.47848813686610947,0.691728369279524,1.7603379487991333,4.45476770401001,5.541558856604837,0.5468105666535217,0.7394664067106238,3.9083360464803727,7.395308166164764
Supertone/supertonic-3,supertonic,6,6,613,0.4778317770787165,0.0060802662977157374,0.0779760623378466,0.3514264514669776,0.7930271830409765,2.7216792353268326,0.3990349054992844,0.631692097068884,1.857545256614685,4.503317356109619,5.652264082791706,0.34030900686831067,0.5833601005110914,4.504186627020286,7.100173237458973
Supertone/supertonic-3,supertonic,7,7,568,0.5314678350532631,0.009198785286637425,0.09591029812610023,0.36839304864406586,0.8920846171677113,3.18967775022611,0.544529091325926,0.7379221444881066,2.123131036758423,5.267047882080078,5.965132789428873,0.4197065110417223,0.6478475986231039,4.8877136260123795,7.5921969284964055
Supertone/supertonic-3,supertonic,8,8,662,0.5610037326934628,0.005034555956052916,0.07095460489674307,0.45785508025437593,0.8852294702082872,3.628976992712725,0.4752760784392509,0.6894026968610225,2.4563798904418945,5.208362579345703,6.379445359619378,0.48595231746589285,0.6971028026524444,5.163576574173556,7.867109135539814
Supertone/supertonic-3,supertonic,9,9,654,0.5938535750761222,0.00689823690028673,0.08305562533800302,0.47335455659776926,0.866012567654252,3.9475167150400123,0.6781400058935572,0.8234925657791679,2.721987247467041,5.888411045074463,6.569843073068051,0.4670016500269531,0.6833751897947079,5.303109763145823,7.932358816569982
Supertone/supertonic-3,supertonic,10,10,694,0.6242362521827604,0.005483486872781233,0.0740505696992348,0.5078983651474118,0.9038991164416075,4.344870847005111,0.4914981306927913,0.7010692766715649,3.1117546558380127,5.995574951171875,6.894106005425758,0.3809710814848777,0.6172285488252125,5.683531387267047,8.101517408171375
