model,consume_profile_label,policy,policy_label,max_num_seqs,lambda_req_s,unit_violation_amount_p99_s,violated_unit_count
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,256,64.0,6.424537806594739,14
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,256,80.0,0.5524963478185236,2
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,256,8.0,0.27089080298319457,2
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,256,16.0,0.8997338719107211,3
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,256,32.0,1.0114731000736354,4
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,256,48.0,0.31707446184009314,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,256,64.0,0.17034249566495419,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,128,8.0,16.68490622580051,8
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,128,16.0,9.699588458761573,10
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,128,48.0,0.8961864439770579,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,128,80.0,0.578892937861383,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,256,8.0,25.124682990424336,5
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,256,16.0,16.702581277331333,14
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,256,32.0,0.5507397297769785,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,256,48.0,0.23396213445812464,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,256,64.0,4.064912744686008,5
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,256,80.0,0.04045305612497032,2
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,128,8.0,0.43799749482423067,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,128,16.0,0.08873123954981565,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,128,64.0,0.8249984231218696,2
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,256,8.0,4.613912350088355,18
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,256,16.0,3.5836083383113135,13
