model,consume_profile_label,policy,policy_label,lambda_req_s,threshold_key,threshold_label,threshold_value,threshold_mode,selection_rank,mean_admitted_inflight_requests,selected_max_num_seqs,unit_deadline_miss_rate,valid_consumable_unit_count,violated_unit_count,run_count
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,48.0,relaxed,Relaxed (<1%),0.01,lt,2,261.39599664642805,256,0.001650385833444846,22419.0,37.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,64.0,relaxed,Relaxed (<1%),0.01,lt,1,279.7440370154538,128,0.0015934331240946402,20710.0,33.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,64.0,relaxed,Relaxed (<1%),0.01,lt,2,268.5089294537313,256,0.0010092588529553733,22789.0,23.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,80.0,relaxed,Relaxed (<1%),0.01,lt,1,263.0889482747982,256,0.0020178467333303437,22301.0,45.0,1
Qwen/Qwen3.5-35B-A3B,Reading,sslo,ProgressServe,80.0,relaxed,Relaxed (<1%),0.01,lt,2,250.30261955894636,128,0.002207712903377331,21289.0,47.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,8.0,conservative,Conservative (<0.5%),0.005,lt,1,255.98339362748854,256,0.0010625110678236232,22588.0,24.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,8.0,conservative,Conservative (<0.5%),0.005,lt,2,127.99347028613037,128,0.0,23292.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,16.0,conservative,Conservative (<0.5%),0.005,lt,1,255.99438042174063,256,0.0010137964473046239,22687.0,23.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,16.0,conservative,Conservative (<0.5%),0.005,lt,2,127.99911204377898,128,0.0,22997.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,32.0,conservative,Conservative (<0.5%),0.005,lt,1,255.98934151358,256,0.0011343309628724751,22921.0,26.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,32.0,conservative,Conservative (<0.5%),0.005,lt,2,127.99875169764688,128,0.0,22713.0,0.0,1
