model,consume_profile_label,policy,policy_label,lambda_req_s,threshold_key,threshold_label,threshold_value,threshold_mode,selection_rank,mean_admitted_inflight_requests,selected_max_num_seqs,unit_deadline_miss_rate,valid_consumable_unit_count,violated_unit_count,run_count
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,48.0,conservative,Conservative (<0.5%),0.005,lt,1,278.6049287203685,128,5.140595280933532e-05,19453.0,1.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,64.0,conservative,Conservative (<0.5%),0.005,lt,1,280.8862797615783,128,5.2012899199001353e-05,19226.0,1.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,80.0,conservative,Conservative (<0.5%),0.005,lt,1,279.3244063282912,128,0.0002021938027599,19783.0,4.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,8.0,conservative,Conservative (<0.5%),0.005,lt,1,255.9959681070264,256,8.816787162757891e-05,22684.0,2.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,16.0,conservative,Conservative (<0.5%),0.005,lt,1,255.9900271585198,256,0.0001295784381478,23152.0,3.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,32.0,conservative,Conservative (<0.5%),0.005,lt,1,255.99215233595865,256,0.000173498156582,23055.0,4.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,48.0,conservative,Conservative (<0.5%),0.005,lt,1,255.9893562795785,256,4.341408352869671e-05,23034.0,1.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,64.0,conservative,Conservative (<0.5%),0.005,lt,1,255.9942139983291,256,4.304037186881295e-05,23234.0,1.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),baseline,Baseline,80.0,conservative,Conservative (<0.5%),0.005,lt,1,255.98812509474223,256,0.0,23088.0,0.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,8.0,conservative,Conservative (<0.5%),0.005,lt,1,630.0748627102876,256,0.0003806333739342,13136.0,5.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,16.0,conservative,Conservative (<0.5%),0.005,lt,1,981.8769143360926,256,0.001118925831202,12512.0,14.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,32.0,conservative,Conservative (<0.5%),0.005,lt,1,989.4698809388774,256,8.21827744904668e-05,12168.0,1.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,48.0,conservative,Conservative (<0.5%),0.005,lt,1,988.430035059996,256,8.254230293025175e-05,12115.0,1.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,64.0,conservative,Conservative (<0.5%),0.005,lt,1,985.649715061936,256,0.0004018323555412,12443.0,5.0,1
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,ProgressServe,80.0,conservative,Conservative (<0.5%),0.005,lt,1,985.8998794128892,256,0.0001633719980395,12242.0,2.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,8.0,conservative,Conservative (<0.5%),0.005,lt,1,255.9879383163334,256,0.0007785467128027,23120.0,18.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,16.0,conservative,Conservative (<0.5%),0.005,lt,1,255.9917393453764,256,0.0005564353892907,23363.0,13.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,32.0,conservative,Conservative (<0.5%),0.005,lt,1,255.989913908806,256,0.0005217618157311,22999.0,12.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,48.0,conservative,Conservative (<0.5%),0.005,lt,1,255.99330157117785,256,0.0008958662173115,23441.0,21.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,64.0,conservative,Conservative (<0.5%),0.005,lt,1,255.98778881320135,256,0.0005102040816326,23520.0,12.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,80.0,conservative,Conservative (<0.5%),0.005,lt,1,255.99511170789077,256,0.0005534741144414,23488.0,13.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,8.0,conservative,Conservative (<0.5%),0.005,lt,1,276.8771685111508,128,0.0001020043861886,19607.0,2.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,16.0,conservative,Conservative (<0.5%),0.005,lt,1,278.67212313689055,128,0.0002016637257373,19835.0,4.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,32.0,conservative,Conservative (<0.5%),0.005,lt,1,279.08773828858494,128,0.0001034286600817,19337.0,2.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,48.0,conservative,Conservative (<0.5%),0.005,lt,1,275.7151136525604,128,0.000152983171851,19610.0,3.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,64.0,conservative,Conservative (<0.5%),0.005,lt,1,279.2004046730594,128,0.0005663388765896,19423.0,11.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,80.0,conservative,Conservative (<0.5%),0.005,lt,1,278.72000269740016,128,0.0005163155720776,19368.0,10.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,8.0,conservative,Conservative (<0.5%),0.005,lt,1,255.98670442160284,256,8.747758386913353e-05,22863.0,2.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,16.0,conservative,Conservative (<0.5%),0.005,lt,1,255.9777906554306,256,8.740112747454443e-05,22883.0,2.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,32.0,conservative,Conservative (<0.5%),0.005,lt,1,255.9903228475531,256,8.6210612526402e-05,23199.0,2.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,48.0,conservative,Conservative (<0.5%),0.005,lt,1,255.99263930382568,256,0.0001308500894142,22927.0,3.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,64.0,conservative,Conservative (<0.5%),0.005,lt,1,255.9912948357641,256,0.0001306734036065,22958.0,3.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,80.0,conservative,Conservative (<0.5%),0.005,lt,1,255.9900853263576,256,4.29331959471063e-05,23292.0,1.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,8.0,conservative,Conservative (<0.5%),0.005,lt,1,587.300685093704,256,0.0002529724260055,11859.0,3.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,16.0,conservative,Conservative (<0.5%),0.005,lt,1,987.0841886712138,256,0.0005990586221651,11685.0,7.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,32.0,conservative,Conservative (<0.5%),0.005,lt,1,998.4907887743308,128,0.0002239390885679,8931.0,2.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,48.0,conservative,Conservative (<0.5%),0.005,lt,1,993.3781434163792,256,0.000326743996079,12242.0,4.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,64.0,conservative,Conservative (<0.5%),0.005,lt,1,995.4602492737496,256,0.0002432892709431,12331.0,3.0,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,80.0,conservative,Conservative (<0.5%),0.005,lt,1,998.277166710066,128,0.0002247948746768,8897.0,2.0,1
