model,consume_profile_label,policy,lambda_req_s,selected_max_num_seqs,ttft_p99_s,run_count,policy_label
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,80.0,128,450.72487154006956,1,Adaptive
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,8.0,256,52.54418276786804,1,Baseline
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,16.0,256,151.93930883407592,1,Baseline
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,32.0,256,199.70489811897278,1,Baseline
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,48.0,256,216.15199522018432,1,Baseline
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,64.0,256,224.52237133026122,1,Baseline
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,80.0,256,229.65666790008544,1,Baseline
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,8.0,256,4.680399477481842,1,Adaptive
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,16.0,256,85.21909706115723,1,Adaptive
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,32.0,128,105.70112092494965,1,Adaptive
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,48.0,256,160.80599605560303,1,Adaptive
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,64.0,256,173.50289052963257,1,Adaptive
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,80.0,128,144.87457358360288,1,Adaptive
