model,consume_profile_label,policy,policy_label,max_num_seqs,lambda_req_s,mean_admitted_inflight_requests,valid_consumable_unit_count,violated_unit_count,run_count,validity_pass,no_harm_pass,request_any_unit_missed_count,measured_request_count,unit_deadline_miss_rate,request_any_unit_miss_rate,cell_valid
Qwen/Qwen3.5-9B,Reading,sslo,Adaptive,128,8.0,392.22667880280807,18283.0,21.0,1,False,True,21,1025,0.0011486079964994804,0.02048780487804878,False
Qwen/Qwen3.5-9B,Reading,sslo,Adaptive,128,16.0,663.6826542190817,12901.0,9.0,1,False,True,9,1025,0.0006976203395085652,0.00878048780487805,False
Qwen/Qwen3.5-9B,Reading,sslo,Adaptive,128,32.0,622.6861151566361,13428.0,2.0,1,False,True,2,1025,0.00014894250819183795,0.001951219512195122,False
Qwen/Qwen3.5-9B,Reading,sslo,Adaptive,128,48.0,662.6028798865026,13227.0,1.0,1,False,True,1,1025,7.560293339381567e-05,0.000975609756097561,False
Qwen/Qwen3.5-9B,Reading,sslo,Adaptive,128,64.0,656.8617780029028,13170.0,2.0,1,False,True,2,1025,0.00015186028853454822,0.001951219512195122,False
Qwen/Qwen3.5-9B,Reading,sslo,Adaptive,128,80.0,682.6043906048708,12946.0,2.0,1,False,True,2,1025,0.0001544878727019929,0.001951219512195122,False
Qwen/Qwen3.5-9B,Reading,sslo,Adaptive,256,8.0,471.2448662203516,15402.0,6.0,1,True,True,6,1025,0.00038955979742890534,0.005853658536585366,True
Qwen/Qwen3.5-9B,Reading,sslo,Adaptive,256,16.0,768.3373040396239,14466.0,14.0,1,False,True,14,1025,0.0009677865339416563,0.013658536585365854,False
Qwen/Qwen3.5-9B,Reading,sslo,Adaptive,256,32.0,809.4242571891617,14484.0,9.0,1,False,True,9,1025,0.0006213753106876554,0.00878048780487805,False
Qwen/Qwen3.5-9B,Reading,sslo,Adaptive,256,48.0,807.253003851978,13905.0,5.0,1,False,True,5,1025,0.0003595828838547285,0.004878048780487805,False
Qwen/Qwen3.5-9B,Reading,sslo,Adaptive,256,64.0,820.3550865535075,14188.0,4.0,1,False,True,4,1025,0.000281928390188892,0.003902439024390244,False
Qwen/Qwen3.5-9B,Reading,sslo,Adaptive,256,80.0,758.3949354001966,14994.0,3.0,1,False,True,3,1025,0.00020008003201280514,0.002926829268292683,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,128,8.0,127.9994626290724,23027.0,1.0,1,False,True,1,1025,4.342728101793547e-05,0.000975609756097561,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,128,16.0,127.99894555433487,23293.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,128,32.0,127.9979572259317,23480.0,1.0,1,False,True,1,1025,4.258943781942078e-05,0.000975609756097561,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,128,48.0,127.99945993871926,23295.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,128,64.0,127.99885063711021,23157.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,vLLM,128,80.0,127.99805658256714,23564.0,0.0,1,False,True,0,1025,0.0,0.0,False
