model,consume_profile_label,policy,policy_label,max_num_seqs,lambda_req_s,unit_violation_amount_p99_s,violated_unit_count
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,256,16.0,2.800446002557873,13
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,256,24.0,1.9039535691123457,10
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,256,32.0,15.001807662900518,20
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,256,40.0,10.574819590421386,14
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,Baseline,256,48.0,13.685865211021149,15
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,128,8.0,0.13715007808059454,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,128,16.0,0.006401869468390942,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,128,40.0,3.7467469163239002,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,8.0,0.23846744279377163,2
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,16.0,0.4532846277579665,1
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,24.0,0.24138032974675297,3
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,32.0,6.362056504543869,4
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,40.0,10.610108131766319,5
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,48.0,1.2147997603937983,3
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,256,8.0,0.4342793588805944,2
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,256,16.0,1.0703077187202872,3
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,256,24.0,0.13710438646376133,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,256,32.0,0.10079079773277044,1
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,256,40.0,0.33017798193730413,2
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,Baseline,256,48.0,0.3420486571267247,1
